id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,
GW170823-v1,GW170823,1,GWTC-1-confident,1187529257,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-confident/GW170823/v1,39.5,-6.7,11.2,29,-7.8,6.7,12.2,-0.3,0.2,1940,-900,970,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,,,,0.35,-0.15,0.15,1E-07,,,1,,,65.4,-7.4,10.1,1
GW190403_051519-v1,GW190403_051519,1,GWTC-2.1-confident,1238303737,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190403_051519/v1,85,-33,27.8,20,-8.4,26.3,7.6,-1.1,0.6,8280,-4290,6720,0.68,-0.43,0.16,106.6,-23.6,26.7,34,-8.4,15.1,,,,1.18,-0.53,0.73,7.7,,,0.60924,,,102.2,-24.3,26.3,0
GW190408_181802-v2,GW190408_181802,2,GWTC-2.1-confident,1238782700,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190408_181802/v2,24.8,-3.5,5.4,18.5,-4,3.3,14.6,-0.3,0.2,1540,-620,440,-0.03,-0.17,0.13,43.4,-3,4.2,18.5,-1.2,1.9,,,,0.29,-0.11,0.07,1E-05,,,1,,,41.4,-2.9,3.9,1
GW190412_053044-v4,GW190412_053044,4,GWTC-2.1-confident,1239082262,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190412/v4,27.7,-6,6,9,-1.4,2,19.8,-0.3,0.2,720,-220,240,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,,,,0.15,-0.04,0.04,1E-05,,,1,,,35.6,-4.5,4.8,1
GW190413_052954-v2,GW190413_052954,2,GWTC-2.1-confident,1239168613,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_052954/v2,33.7,-6.4,10.4,24.2,-7,6.5,9,-0.8,0.4,3320,-1400,1910,-0.04,-0.32,0.27,58,-7.8,10.6,24.5,-3.4,4.6,,,,0.56,-0.21,0.25,0.82,,,0.9275,,,55.5,-7.3,10.1,0
GW190413_134308-v2,GW190413_134308,2,GWTC-2.1-confident,1239198207,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190413_134308/v2,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800,-1830,2480,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,,,,0.62,-0.26,0.32,0.18,,,0.99058,,,78,-11.5,16.1,1
GW190421_213856-v2,GW190421_213856,2,GWTC-2.1-confident,1239917954,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190421_213856/v2,42,-7.4,10.1,32,-9.8,8.3,10.7,-0.4,0.2,2590,-1240,1490,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6,,,,0.45,-0.19,0.21,0.0028,,,0.99792,,,70.5,-9,12.4,1
GW190425_081805-v3,GW190425_081805,3,GWTC-2.1-confident,1240215503,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190425/v3,2.1,-0.4,0.5,1.3,-0.2,0.3,12.4,-0.4,0.4,150,-60,80,0.07,-0.05,0.07,3.4,-0.1,0.3,1.44,-0.02,0.02,,,,0.03,-0.01,0.02,0.034,,,0.78349,,,,,,1
GW190426_190642-v1,GW190426_190642,1,GWTC-2.1-confident,1240340821,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190426_190642/v1,105.5,-24.1,45.3,76,-36.5,26.2,8.7,-0.6,0.4,4580,-2280,3400,0.23,-0.41,0.42,182.3,-35.7,40.2,76,-17.4,19.1,,,,0.73,-0.32,0.41,4.1,,,0.75053,,,172.9,-33.6,37.7,0
GW190503_185404-v2,GW190503_185404,2,GWTC-2.1-confident,1240944862,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190503_185404/v2,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520,-600,630,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,,,,0.29,-0.1,0.1,1E-05,,,1,,,66.5,-7.9,9.4,1
GW190512_180714-v2,GW190512_180714,2,GWTC-2.1-confident,1241719652,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190512_180714/v2,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460,-590,510,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,,,,0.28,-0.1,0.08,1E-05,,,1,,,34.3,-3.4,4.1,1
GW190513_205428-v2,GW190513_205428,2,GWTC-2.1-confident,1241816087,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190513_205428/v2,36,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210,-810,990,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,,,,0.4,-0.13,0.14,1.3E-05,,,0.99998,,,52.1,-6.6,8.8,1
GW190514_065416-v2,GW190514_065416,2,GWTC-2.1-confident,1241852075,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190514_065416/v2,40.9,-9.3,17.3,28.4,-10.1,10,8,-0.6,0.3,3890,-2070,2610,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,,,,0.64,-0.3,0.33,2.8,,,0.76021,,,66.4,-11.5,19,0
GW190517_055101-v2,GW190517_055101,2,GWTC-2.1-confident,1242107480,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190517_055101/v2,39.2,-9.2,13.9,24,-7.9,7.4,10.8,-0.6,0.5,1790,-880,1750,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4,,,,0.33,-0.15,0.26,0.00035,,,1,,,60.1,-9.4,9.9,1
GW190519_153544-v2,GW190519_153544,2,GWTC-2.1-confident,1242315362,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190519_153544/v2,65.1,-11,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600,-960,1720,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,,,,0.45,-0.15,0.24,1E-05,,,1,,,100,-12.9,13,1
GW190521_030229-v4,GW190521_030229,4,GWTC-2.1-confident,1242442967,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521/v4,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310,-1800,2790,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,,,,0.56,-0.27,0.36,0.0013,,,0.99989,,,147.4,-16,40,1
GW190521_074359-v2,GW190521_074359,2,GWTC-2.1-confident,1242459857,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190521_074359/v2,43.4,-5.5,5.8,33.4,-6.8,5.2,25.9,-0.2,0.1,1080,-530,580,0.1,-0.13,0.13,76.3,-5.9,7,32.8,-2.8,3.2,,,,0.21,-0.1,0.1,1E-05,,,1,,,72.6,-5.4,6.5,1
GW190527_092055-v2,GW190527_092055,2,GWTC-2.1-confident,1242984074,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190527_092055/v2,35.6,-8,18.7,22.2,-8.7,9,8,-0.9,0.4,2520,-1230,2080,0.1,-0.22,0.22,58.1,-8.8,18.1,23.9,-3.9,6.8,,,,0.44,-0.19,0.29,0.23,,,0.84784,,,55.5,-8.5,17.9,0
GW190602_175927-v2,GW190602_175927,2,GWTC-2.1-confident,1243533585,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190602_175927/v2,71.8,-14.6,18.1,44.8,-19.6,15.5,13.2,-0.3,0.2,2840,-1280,1930,0.12,-0.28,0.25,115.6,-14.8,19.2,48,-9.7,9.5,,,,0.49,-0.2,0.26,1E-05,,,1,,,110.5,-13.9,17.9,1
GW190620_030421-v2,GW190620_030421,2,GWTC-2.1-confident,1245035079,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190620_030421/v2,58,-13.3,19.2,35,-14.5,13.1,12.1,-0.4,0.3,2910,-1320,1710,0.34,-0.29,0.22,92.7,-13.2,18.5,38.1,-7.2,8.5,,,,0.5,-0.2,0.23,0.011,,,0.98748,,,88,-12.4,17.2,1
GW190630_185205-v2,GW190630_185205,2,GWTC-2.1-confident,1245955943,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190630_185205/v2,35.1,-5.5,6.5,24,-5.2,5.5,16.4,-0.3,0.2,870,-360,530,0.1,-0.13,0.14,59.4,-4.8,4.7,25.1,-2.1,2.2,,,,0.18,-0.07,0.09,1E-05,,,1,,,56.6,-4.5,4.4,1
GW190701_203306-v2,GW190701_203306,2,GWTC-2.1-confident,1246048405,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190701_203306/v2,54.1,-8,12.6,40.5,-12.1,8.7,11.2,-0.4,0.2,2090,-740,770,-0.08,-0.31,0.23,94.3,-9.5,12,40.2,-5,5.4,,,,0.38,-0.12,0.11,0.0057,,,0.99986,,,90.2,-8.9,11.2,1
GW190706_222641-v2,GW190706_222641,2,GWTC-2.1-confident,1246487219,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190706_222641/v2,74,-16.9,20.1,39.4,-15.4,18.4,13.4,-0.4,0.2,3630,-2000,2600,0.28,-0.31,0.25,112.6,-16.8,27.4,45.6,-9.1,13,,,,0.6,-0.29,0.33,5E-05,,,1,,,107.3,-15.9,25.2,1
GW190707_093326-v2,GW190707_093326,2,GWTC-2.1-confident,1246527224,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190707_093326/v2,12.1,-2,2.6,7.9,-1.3,1.6,13.1,-0.4,0.2,850,-400,340,-0.04,-0.09,0.1,20.1,-1.2,1.7,8.4,-0.4,0.6,,,,0.17,-0.08,0.06,1E-05,,,1,,,19.2,-1.2,1.7,1
GW190708_232457-v2,GW190708_232457,2,GWTC-2.1-confident,1246663515,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190708_232457/v2,19.8,-4.3,4.3,11.6,-2,3.1,13.4,-0.3,0.2,930,-390,310,0.05,-0.1,0.1,31.4,-2.2,2.8,13.1,-0.6,0.9,,,,0.19,-0.07,0.06,0.00031,,,0.99965,,,30.1,-2.1,2.9,1
GW190719_215514-v2,GW190719_215514,2,GWTC-2.1-confident,1247608533,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190719_215514/v2,36.6,-11.1,42.1,19.9,-9.3,10,7.9,-0.7,0.3,3730,-2070,3120,0.25,-0.32,0.33,57.2,-11.6,38.4,22.8,-4.3,8.3,,,,0.61,-0.3,0.39,0.63,,,0.91976,,,54.5,-11.1,38.3,0
GW190720_000836-v2,GW190720_000836,2,GWTC-2.1-confident,1247616535,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190720_000836/v2,14.2,-3.3,5.6,7.5,-1.8,2.2,10.9,-0.8,0.3,770,-260,650,0.19,-0.11,0.14,21.8,-2,3.8,9,-0.8,0.4,,,,0.16,-0.05,0.11,1E-05,,,1,,,20.8,-2,3.9,1
GW190725_174728-v1,GW190725_174728,1,GWTC-2.1-confident,1248112066,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,11.8,-3,10.1,6.3,-2.5,2.1,9.1,-0.7,0.4,1030,-430,520,-0.04,-0.16,0.36,18.3,-1.9,7.4,7.4,-0.5,0.5,,,,0.2,-0.08,0.09,0.46,,,0.96021,,,17.6,-1.8,7.7,0
GW190727_060333-v2,GW190727_060333,2,GWTC-2.1-confident,1248242632,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190727_060333/v2,38.9,-6,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070,-1230,1300,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,,,,0.52,-0.18,0.18,1E-05,,,1,,,65.4,-7.3,9.5,1
GW190728_064510-v2,GW190728_064510,2,GWTC-2.1-confident,1248331529,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190728_064510/v2,12.5,-2.3,6.9,8,-2.6,1.7,13.1,-0.4,0.3,880,-380,260,0.13,-0.07,0.19,20.7,-1.4,4.2,8.6,-0.3,0.6,,,,0.18,-0.07,0.05,1E-05,,,1,,,19.7,-1.4,4.4,1
GW190731_140936-v2,GW190731_140936,2,GWTC-2.1-confident,1248617395,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190731_140936/v2,41.8,-9.1,12.7,29,-9.9,10.2,8.8,-0.4,0.3,3330,-1770,2350,0.07,-0.25,0.28,70.7,-11.4,16.3,29.7,-5.3,7.4,,,,0.56,-0.26,0.31,0.33,,,0.83427,,,67.4,-10.8,15.3,0
GW190803_022701-v2,GW190803_022701,2,GWTC-2.1-confident,1248834440,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190,-1470,1630,-0.01,-0.28,0.23,65,-8.1,12,27.6,-3.8,5.4,,,,0.54,-0.22,0.22,0.073,,,0.97383,,,62.1,-7.6,11.2,0
GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130,-3080,3720,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,,,,0.92,-0.4,0.43,0.63,,,0.95372,,,72.4,-13.2,18.2,0
GW190814_211039-v3,GW190814_211039,3,GWTC-2.1-confident,1249852257,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230,-50,40,0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,,,,0.05,-0.01,0.01,1E-05,,,1,,,25.7,-1.3,1.3,1
GW190828_063405-v2,GW190828_063405,2,GWTC-2.1-confident,1251009264,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070,-920,650,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2,3.6,,,,0.38,-0.15,0.1,1E-05,,,1,,,54.3,-4,7.3,1
GW190828_065509-v2,GW190828_065509,2,GWTC-2.1-confident,1251010528,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540,-650,690,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1,1.4,,,,0.29,-0.11,0.11,3.5E-05,,,0.99998,,,33,-4.3,5.3,1
GW190910_112807-v2,GW190910_112807,2,GWTC-2.1-confident,1252150105,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520,-630,1090,0,-0.2,0.17,78,-9.1,9.3,33.5,-4.1,4.2,,,,0.29,-0.11,0.17,0.0029,,,0.99669,,,74.4,-8.6,8.5,1
GW190915_235702-v2,GW190915_235702,2,GWTC-2.1-confident,1252627041,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2,32.6,-4.9,8.8,24.5,-5.8,4.9,13.1,-0.3,0.2,1750,-650,710,-0.03,-0.24,0.19,57.2,-5.3,7.1,24.4,-2.3,3,,,,0.32,-0.11,0.11,1E-05,,,1,,,54.7,-5,6.6,1
GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699637,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,43.8,-12.6,19.9,23.3,-10,12.5,8.1,-0.5,0.3,4940,-2380,3710,0.2,-0.31,0.33,68,-13.1,18.3,26.9,-5.4,8.2,,,,0.77,-0.32,0.45,4.7,,,0.65727,,,65,-12.6,17.3,0
GW190917_114630-v1,GW190917_114630,1,GWTC-2.1-confident,1252756008,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,9.7,-3.9,3.4,2.1,-0.4,1.1,8.3,-0.8,0.5,720,-310,300,-0.08,-0.43,0.21,11.8,-2.8,3,3.7,-0.2,0.2,,,,0.15,-0.06,0.05,0.66,,,0.76643,,,11.6,-2.9,3.1,0
GW190924_021846-v2,GW190924_021846,2,GWTC-2.1-confident,1253326745,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190924_021846/v2,8.8,-1.8,4.3,5.1,-1.5,1.2,12,-0.4,0.3,550,-220,220,0.03,-0.08,0.2,13.9,-0.9,2.8,5.8,-0.2,0.2,,,,0.11,-0.04,0.04,1E-05,,,1,,,13.3,-0.9,3,1
GW190925_232845-v1,GW190925_232845,1,GWTC-2.1-confident,1253489343,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,20.8,-2.9,6.5,15.5,-3.6,2.5,9.7,-0.6,0.3,930,-350,460,0.09,-0.15,0.16,36.7,-2.8,3.6,15.6,-1.1,1.1,,,,0.19,-0.07,0.08,0.0072,,,0.98849,,,34.9,-2.6,3.5,0
GW190926_050336-v1,GW190926_050336,1,GWTC-2.1-confident,1253509434,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,41.1,-12.5,20.8,20.4,-8.2,11.4,8.1,-0.8,0.6,3280,-1730,3400,-0.02,-0.32,0.25,61.9,-12,22.7,24.4,-4.9,9,,,,0.55,-0.26,0.44,1.1,,,0.54334,,,59.6,-11.8,22.1,0
GW190929_012149-v2,GW190929_012149,2,GWTC-2.1-confident,1253755327,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190929_012149/v2,66.3,-16.6,21.6,26.8,-10.6,14.7,9.7,-0.6,0.4,3130,-1370,2510,-0.03,-0.28,0.23,93.3,-15,23.3,35.6,-7.4,10.2,,,,0.53,-0.2,0.33,0.16,,,0.87042,,,90.3,-14.6,22.3,0
GW190930_133541-v2,GW190930_133541,2,GWTC-2.1-confident,1253885759,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,14.2,-4,8,6.9,-2.1,2.4,9.7,-0.5,0.3,770,-320,320,0.19,-0.16,0.22,21.2,-2,5.9,8.5,-0.4,0.5,,,,0.16,-0.06,0.06,0.012,,,0.99785,,,20.2,-2,6.1,0
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779568,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.16,20,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.09,0.46,,,0.94318,,,19,-1.7,3.8,0
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999740,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.07,0.012,,,0.99,,,17.6,-1.2,2.1,0
GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65,-11,11,47,-13,15,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.42,112,-16,20,47.5,-7.5,9.6,,,,0.25,-0.12,0.18,0.00018,,,0.99,,,107,-15,18,1
GW191113_071753-v1,GW191113_071753,1,GWTC-3-confident,1257664692,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,29,-14,12,5.9,-1.3,4.4,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1,1.1,,,,0.26,-0.11,0.18,26,,,0.68339,,,34,-10,11,0
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804398,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.15,20.7,-2,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.12,3.2,,,0.70041,,,19.6,-2,3.5,0
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866166,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53,-20,47,24,-14,17,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.34,80,-22,39,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.73996,,,76,-21,39,0
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.05,1E-05,,,0.99,,,16.8,-1.2,2.5,1
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492748,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-5.9,10.8,19.2,-6,5.5,8.9,-0.6,0.4,1900,-1100,1700,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45,-7.5,8.7,0
